city,lat,lon,date,temp_min,temp_max,source_id
Alor Setar,6.1,100.35,2025-09-30,26.0,31.0,75
Cameron Highlands,4.47,101.43,2025-09-30,14.0,24.0,76
Ipoh,4.58,101.07,2025-09-30,23.0,34.0,77
Johor Bahru,1.47,103.75,2025-09-30,24.0,32.0,78
Kota Bharu,6.17,102.28,2025-09-30,25.0,31.0,79
Kuching,1.48,110.33,2025-09-30,23.0,34.0,80
Kota Kinabalu,5.93,116.05,2025-09-30,24.0,32.0,81
Kuantan,3.78,103.22,2025-09-30,24.0,33.0,83
Langkawi,6.37,99.78,2025-09-30,26.0,30.0,85
Melaka,2.2,102.25,2025-09-30,23.0,31.0,86
Miri,4.33,113.98,2025-09-30,24.0,34.0,87
Petaling Jaya,3.07,101.63,2025-09-30,24.0,32.0,88
Pulau Pinang,5.45,100.25,2025-09-30,26.0,31.0,89
Sibu,2.33,111.83,2025-09-30,23.0,34.0,90
Sandakan,5.9,118.07,2025-09-30,22.0,33.0,91
